,Name,Academic (1),Affiliations
16049,william edward griffiths,1,microeconometrics unit department of economics faculty of business and economics university of melbourne
16050,bin gao,0,jiangsu provincial development and reform commission macroeconomic research institute
16051,francesco giuli,1,department of economics university of rome studies three
16052,ian grigg,0, 
16053,grace xing gao,1,bankwest curtin economy center curtin business school curtin university
16054,elisa giuliani,1,faculty of economics university of pisa studies
16055,michel louis grignon,1,"centre for health economics and policy analysis (chepa) 
mcmaster university"
16056,hang gao,0,(50%) faculty of economics and business studies ku leuven
16057,laura m. giuliano,1,department of economics school of business university of miami
16058,francesco grigoli,0,international monetary fund (imf)
16059,hong gao,1,school of economics fudan university
16060,paola giuliano,1,(50%) center for global management anderson graduate school of management university of california-los angeles (ucla)
16061,maya grigolia,1,international school of economics tbilisi state university
16062,jassduke gao,0, 
16063,corrado giulietti,1,economics division university of southampton
16064,laura grigolon,1,(99%) department of economics mcmaster university
16065,jing gao,1,capital university of economics and business
16066,monica giulietti,1,school of business and economics loughborough university
16067,veaceslav grigoras,0,the faculty of finance
16068,jing gao,1,research institute of economics and management southwestern university of finance and economics (swufe)
16069,david giuliodori,1,institute of economics and finance faculty of economics national university of córdoba
16070,florian dumitru grigore,1,ecological university of bucuresti (ecological university of bucharest)
16071,jiti gao,1,department of econometrics and business statistics monash business school monash university
16072,massimo giuliodori,1,faculteit economie en bedrijfskunde (faculty of economics and business) university of amsterdam (university of amsterdam)
16073,adriana grigorescu,1,(34%) faculty of public administration national school of political and administrative studies (snspa)
16074,lei gao (皋磊),0,(95%) policy and economic research unit (peru) land and water division commonwealth scientific and industrial research organisation (csiro)
16075,gianfranco giulioni,1,"department of quantitative methods and economic theory university of chieti and pescara studies (""announcement of announcement"")"
16076,theocharis grigoriadis,1,(95%) faculty of economics science university of berlin
16077,lin gao,1,luxembourg school of finance faculty of law
16078,anna giunta,1,department of economics university of rome studies three
16079,david grigorian,0,international monetary fund (imf)
16080,liping gao,1,department of economics auburn university
16081,giovanni osea giuntella,1,(90%) blavatnik school of government oxford university
16082,alexander grigoriev,1,"graduate school of business and economics (gsbe) 
school of business and economics 
maastricht university"
16083,pingyang gao,1,booth school of business university of chicago
16084,carlo giupponi,1,(95%) department of university economics ca 'foscari venezia
16085,christopher grigoriou,1,center of studies and research on international development (cerdi) school of economics university of auvergne (clermont-ferrand 1)
16086,qingwu gao,0,南京 审计 學院 (nanjing audit univerisity)
16087,michele giuseppe giuranno,1,"department of public policy and public choice (polis) university of east piedmont ""amedeo avogadro"" (amadeo avogadro university of the eastern piedmont)"
16088,cornel grigorut,1,the ovidius university of the constant (ovidius university of constanta)
16089,simon gao,1,school of accounting
16090,laura giurca vasilescu,0, 
16091,lusine grigoryan,1,"national research university higher school of economics international laboratory of socio-cultural research (national research university, higher school of economics)"
16092,song gao,1,"department of economics and business administration 
juniata college"
16093,nicolae m giurgiteanu,0, 
16094,leonid markovich grigoryev,1,faculty of economics national research university higher school of economics
16095,wayne yuan gao,1,economics department yale university
16096,adriana giurgiu,1,faculty of economics university of oradea
16097,ruslan grigoryev,0,faculty of economics institute of economics
16098,wei gao,1,school of economics northeast normal university
16099,paola giuri,0,"laboratory of economics and management (lem) 
scuola superiore sant'anna (sant'anna higher school)"
16100,therese cavlovic grijalva,1,department of economics weber state university
16101,xiang gao,1,school of international business administration shanghai university of finance and economics
16102,luisa giuriato,1,"department of economics and faculty of economics ""wisdom"" university of roma"
16103,zvi griliches,0, 
